lbs.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Envelope,,,,,,,,,,,,,,,,
,19.45,19.70,20.09,20.27,20.37,20.41,7.59,7.59,7.59,7.59,7.59,7.59,7.59,7.59,7.59,7.70
Pak,,,,,,,,,,,,,,,,
1,16.32,16.32,19.59,20.53,21.09,21.23,7.59,7.59,7.59,7.59,7.59,7.59,7.62,7.68,7.75,7.98
Package,,,,,,,,,,,,,,,,
1,16.38,16.41,19.66,20.60,21.16,21.31,8.57,8.57,8.57,8.57,8.57,8.57,8.60,9.16,9.29,9.93
2,16.38,16.41,19.69,20.78,21.45,21.57,8.57,8.57,8.88,8.57,8.57,8.57,8.88,9.35,9.49,10.29
3,16.38,16.41,19.93,21.19,21.95,22.04,8.57,8.57,9.49,8.75,8.76,8.94,9.29,9.60,9.71,10.67
4,16.38,16.41,20.28,21.57,22.39,22.66,8.64,8.72,10.02,8.97,8.98,9.23,9.57,9.88,10.02,11.03
5,16.38,16.41,20.60,21.83,22.69,23.27,8.75,8.95,10.59,9.20,9.22,9.44,9.74,10.08,10.20,11.12
6,16.76,16.90,21.16,22.19,23.42,24.04,8.83,9.39,11.08,9.49,9.54,9.73,10.08,10.48,10.59,11.69
7,16.99,17.08,21.69,22.89,24.18,24.89,9.16,9.76,11.62,9.80,9.82,9.98,10.39,10.80,10.90,12.02
8,17.20,17.26,22.13,23.62,25.00,25.62,9.64,10.23,12.16,10.11,10.12,10.26,10.67,11.11,11.18,12.30
9,17.43,17.61,22.86,24.33,25.80,26.38,10.12,10.71,12.69,10.39,10.43,10.49,11.09,11.68,11.69,13.00
10,17.81,17.87,23.68,25.06,26.65,27.23,10.61,11.21,13.22,10.70,10.98,11.15,11.72,12.46,12.62,13.60
11,17.96,18.11,24.33,25.83,27.44,27.91,11.08,11.69,13.75,10.99,11.24,11.49,12.16,13.03,13.21,14.16
12,18.11,18.28,25.09,26.44,28.35,28.73,11.55,12.22,14.28,11.30,11.52,11.75,12.44,13.34,13.54,14.56
13,18.31,18.40,25.80,27.18,29.26,29.52,12.00,12.72,14.82,11.62,11.83,12.09,12.78,13.69,13.91,14.92
14,18.49,18.69,26.50,27.73,30.05,30.40,12.47,13.19,15.38,12.47,12.68,12.93,13.63,14.00,14.28,15.39
15,18.81,18.90,27.26,28.47,30.90,31.14,12.99,13.73,15.91,12.81,13.02,13.28,14.00,14.53,14.79,16.11
