lbs.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Envelope,,,,,,,,,,,,,,,,
,8.49,8.49,8.58,8.65,8.69,8.72,8.49,8.49,8.49,8.49,8.49,8.49,8.49,8.59,9.57,10.83
Pak,,,,,,,,,,,,,,,,
1,8.52,8.52,10.22,10.71,11.00,11.08,9.55,9.83,10.02,10.68,10.87,10.92,11.24,11.66,13.36,14.87
Package,,,,,,,,,,,,,,,,
1,8.52,8.53,10.22,10.71,11.00,11.08,10.06,10.83,11.15,11.35,11.44,12.11,12.89,13.72,14.51,16.11
2,8.52,8.53,10.25,10.80,11.16,11.22,10.38,11.09,11.78,12.44,12.50,13.23,13.98,14.92,15.77,17.24
3,8.52,8.53,10.37,11.02,11.41,11.47,10.63,11.28,12.46,13.48,13.75,14.36,15.10,16.01,16.82,18.40
4,8.52,8.53,10.55,11.22,11.64,11.79,10.80,11.47,13.21,14.61,14.87,15.48,16.15,17.11,17.97,19.57
5,8.52,8.53,10.71,11.35,11.80,12.11,10.90,11.75,14.26,15.70,16.03,16.65,17.18,18.16,19.07,20.92
6,8.72,8.80,11.00,11.54,12.18,12.50,11.05,12.25,15.02,16.73,17.04,17.72,18.30,19.28,20.19,22.07
7,8.84,8.88,11.28,11.91,12.57,12.94,11.35,12.72,15.79,17.85,18.03,18.87,19.32,20.40,21.34,23.35
8,8.94,8.97,11.51,12.28,13.01,13.33,11.95,13.29,16.51,18.97,19.07,20.00,20.40,21.49,22.42,24.57
9,9.07,9.16,11.89,12.65,13.42,13.72,12.59,13.88,17.27,20.05,20.19,21.12,21.54,22.65,23.55,25.79
10,9.26,9.29,12.31,13.04,13.85,14.16,13.24,14.44,18.03,21.14,21.24,22.14,22.63,23.84,24.68,27.01
11,9.35,9.42,12.65,13.43,14.28,14.52,13.81,15.08,18.68,22.18,22.30,23.19,23.67,25.16,25.89,28.23
12,9.42,9.51,13.05,13.75,14.74,14.94,14.38,15.69,19.45,23.29,23.35,24.20,24.79,26.40,27.04,29.48
13,9.52,9.57,13.42,14.13,15.22,15.35,14.90,16.31,20.22,24.31,24.36,25.35,26.07,27.59,28.23,30.67
14,9.61,9.73,13.78,14.42,15.63,15.82,15.47,16.89,20.98,25.32,25.44,26.41,27.20,28.84,29.48,31.91
15,9.78,9.83,14.17,14.80,16.08,16.19,16.08,17.52,21.70,26.34,26.46,27.40,28.22,30.02,30.67,33.16
16,9.89,9.94,14.49,15.15,16.50,16.63,16.73,18.16,22.47,27.37,27.52,28.43,29.42,31.27,31.91,34.35
17,10.02,10.06,14.96,15.54,16.92,17.05,17.34,18.81,23.22,28.41,28.55,29.48,30.64,32.55,33.13,35.59
18,10.10,10.19,15.45,15.92,17.37,17.43,17.90,19.48,23.97,29.35,29.69,30.50,31.82,33.73,34.34,36.78
