lbs.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Envelope,,,,,,,,,,,,,,,,
,9.21,9.21,9.31,9.38,9.43,9.46,9.21,9.21,9.21,9.21,9.21,9.21,9.21,9.32,10.38,11.75
Pak,,,,,,,,,,,,,,,,
1,9.24,9.24,11.09,11.62,11.94,12.02,10.36,10.66,10.87,11.59,11.80,11.85,12.19,12.65,14.50,16.14
Package,,,,,,,,,,,,,,,,
1,9.24,9.26,11.09,11.62,11.94,12.02,10.91,11.75,12.10,12.32,12.41,13.14,13.99,14.89,15.74,17.48
2,9.24,9.26,11.12,11.72,12.11,12.18,11.26,12.03,12.78,13.50,13.56,14.35,15.17,16.18,17.11,18.71
3,9.24,9.26,11.25,11.96,12.38,12.44,11.53,12.24,13.52,14.62,14.92,15.58,16.39,17.37,18.25,19.97
4,9.24,9.26,11.45,12.18,12.63,12.79,11.72,12.44,14.34,15.85,16.14,16.80,17.52,18.56,19.50,21.23
5,9.24,9.26,11.62,12.32,12.81,13.14,11.83,12.74,15.47,17.03,17.40,18.06,18.64,19.70,20.69,22.70
6,9.46,9.54,11.94,12.52,13.22,13.56,11.99,13.30,16.29,18.15,18.49,19.23,19.86,20.91,21.91,23.94
7,9.59,9.64,12.24,12.92,13.64,14.04,12.32,13.80,17.13,19.37,19.56,20.47,20.96,22.13,23.15,25.33
8,9.70,9.73,12.49,13.33,14.12,14.46,12.97,14.42,17.92,20.58,20.69,21.70,22.13,23.31,24.32,26.66
9,9.84,9.94,12.90,13.72,14.56,14.89,13.66,15.06,18.74,21.75,21.91,22.92,23.38,24.57,25.55,27.98
10,10.05,10.08,13.36,14.15,15.03,15.36,14.37,15.66,19.56,22.93,23.04,24.02,24.56,25.87,26.78,29.31
11,10.14,10.22,13.72,14.57,15.49,15.76,14.98,16.36,20.27,24.07,24.20,25.16,25.68,27.30,28.09,30.63
12,10.22,10.32,14.16,14.92,15.99,16.21,15.60,17.02,21.10,25.27,25.33,26.26,26.89,28.64,29.34,31.99
13,10.33,10.38,14.56,15.33,16.51,16.66,16.17,17.70,21.94,26.37,26.44,27.51,28.28,29.94,30.63,33.28
14,10.43,10.55,14.95,15.65,16.96,17.16,16.78,18.33,22.76,27.48,27.60,28.66,29.51,31.29,31.99,34.62
15,10.62,10.66,15.38,16.06,17.44,17.57,17.44,19.01,23.55,28.58,28.71,29.73,30.62,32.57,33.28,35.98
16,10.73,10.79,15.73,16.44,17.90,18.04,18.15,19.70,24.38,29.70,29.86,30.85,31.92,33.93,34.62,37.27
17,10.87,10.91,16.23,16.86,18.36,18.50,18.82,20.41,25.19,30.82,30.98,31.99,33.25,35.32,35.95,38.61
18,10.96,11.06,16.77,17.27,18.85,18.91,19.42,21.14,26.01,31.85,32.21,33.09,34.53,36.59,37.26,39.91
19,11.07,11.12,17.26,17.70,19.31,19.45,20.11,21.80,26.80,32.92,33.33,34.26,35.82,37.98,38.50,41.25
20,11.20,11.26,17.65,18.15,19.80,19.87,20.79,22.48,27.60,33.97,34.45,35.43,37.11,39.35,39.81,42.60
21,11.34,11.42,18.01,18.64,20.14,20.30,21.47,23.15,28.38,34.98,35.57,36.48,38.25,40.60,41.10,43.85
22,11.45,11.48,18.49,19.20,20.47,20.74,22.21,23.82,29.20,36.07,36.62,37.60,39.50,41.89,42.33,45.14
23,11.51,11.58,18.83,19.59,20.85,21.12,22.92,24.51,30.00,37.15,37.70,38.74,40.73,43.22,43.66,46.50
24,11.64,11.67,19.16,20.06,21.18,21.56,23.63,25.27,30.82,38.20,38.83,39.81,42.02,44.54,44.97,47.81
25,11.69,11.80,19.40,20.47,21.56,21.97,24.43,25.96,31.62,39.26,39.91,41.03,43.31,45.85,46.25,49.12
26,11.74,11.86,19.78,20.74,21.96,22.35,25.14,26.66,32.40,40.36,41.10,42.15,44.57,47.19,47.52,50.49
27,11.88,11.94,20.06,21.07,22.35,22.81,25.88,27.38,33.28,41.42,42.22,43.25,45.84,48.53,48.83,51.78
28,11.96,11.99,20.36,21.34,22.73,23.22,26.59,28.08,34.04,42.44,43.25,44.38,47.11,49.87,50.11,53.08
29,12.08,12.18,20.73,21.59,23.09,23.74,27.30,28.80,34.86,43.56,44.34,45.55,48.41,51.26,51.45,54.35
30,12.26,12.32,21.01,21.96,23.45,24.16,27.98,29.53,35.69,44.78,45.43,46.70,49.65,52.49,52.79,55.69
31,12.35,12.41,21.39,22.19,23.86,24.64,28.71,30.22,36.48,45.98,46.53,47.86,50.90,53.90,54.12,57.00
32,12.49,12.62,21.67,22.56,24.23,25.13,29.38,30.96,37.27,47.10,47.70,48.99,52.26,55.13,55.43,58.36
33,12.67,12.78,21.91,22.84,24.59,25.52,30.08,31.74,38.12,48.25,48.85,50.09,53.41,56.44,56.77,59.67
34,12.81,12.85,22.30,23.19,24.95,25.95,30.84,32.44,38.91,49.51,50.02,51.23,54.57,57.67,58.06,60.98
35,12.87,12.97,22.63,23.45,25.36,26.36,31.58,33.25,39.75,50.68,51.21,52.43,55.73,58.90,59.42,62.27
36,13.03,13.12,22.95,23.72,25.74,26.77,32.29,34.04,40.52,51.88,52.38,53.66,56.96,60.13,60.71,63.56
37,13.14,13.20,23.25,24.04,26.06,27.16,33.01,34.84,41.39,53.11,53.52,54.81,58.20,61.33,61.94,64.86
38,13.25,13.28,23.58,24.31,26.50,27.52,33.74,35.63,42.19,54.29,54.70,55.95,59.42,62.63,63.25,66.14
39,13.34,13.44,23.85,24.59,26.91,27.95,34.45,36.50,42.95,55.54,55.95,57.19,60.54,63.82,64.50,67.51
40,13.50,13.53,24.20,24.89,27.35,28.36,35.16,37.27,43.80,56.75,57.16,58.41,61.78,65.14,65.82,68.75
41,13.56,13.64,24.51,25.22,27.76,28.74,35.88,38.01,44.57,57.93,58.36,59.65,62.92,66.47,67.07,70.09
42,13.71,13.79,24.81,25.49,28.12,29.12,36.64,38.74,45.39,59.12,59.51,60.82,64.07,67.82,68.39,71.39
43,13.83,13.94,25.09,25.74,28.58,29.45,37.35,39.48,46.18,60.43,60.77,62.08,65.19,69.09,69.80,72.70
44,13.96,14.02,25.33,26.07,29.04,29.87,38.06,40.24,46.97,61.61,61.88,63.30,66.45,70.57,71.09,74.01
45,14.07,14.16,25.69,26.51,29.37,30.30,38.77,41.01,47.78,62.74,63.12,64.48,67.65,71.86,72.48,75.28
46,14.18,14.24,25.95,26.83,29.80,30.66,39.46,41.72,48.56,63.97,64.34,65.74,68.80,73.15,73.79,76.53
47,14.29,14.38,26.25,27.19,30.19,31.04,40.21,42.48,49.39,65.19,65.52,66.94,70.02,74.46,75.16,77.86
48,14.40,14.48,26.58,27.51,30.58,31.44,40.91,43.20,50.21,66.47,66.69,68.14,71.14,75.76,76.44,79.10
49,14.50,14.57,26.89,27.81,31.03,31.80,41.66,43.94,51.03,67.62,67.95,69.39,72.21,77.08,77.84,80.50
50,14.61,14.68,27.16,28.12,31.42,32.13,42.38,44.70,51.83,68.83,69.18,70.58,73.41,78.39,79.29,81.75
51,14.91,14.91,27.54,28.58,31.89,32.68,43.14,45.65,53.15,70.39,70.66,72.16,74.98,80.08,80.96,83.44
52,15.00,15.00,27.85,28.86,32.27,33.04,43.77,46.42,53.96,71.61,71.92,73.39,76.29,81.33,82.26,84.75
53,15.09,15.11,28.15,29.16,32.68,33.38,44.32,47.11,54.81,72.81,73.19,74.59,77.54,82.74,83.69,86.03
54,15.21,15.28,28.49,29.43,33.08,33.71,44.89,47.92,55.62,74.02,74.39,75.87,78.77,84.05,84.92,87.37
55,15.38,15.39,28.75,29.73,33.42,34.23,45.39,48.66,56.47,75.24,75.60,77.08,79.98,85.30,86.29,88.63
56,15.49,15.49,29.09,30.02,33.80,34.56,45.98,49.42,57.32,76.61,76.83,78.33,81.29,86.64,87.67,89.92
57,15.62,15.65,29.37,30.30,34.09,34.97,46.56,50.13,58.09,77.79,78.00,79.53,82.52,87.97,88.99,91.40
58,15.77,15.80,29.73,30.57,34.48,35.33,47.13,50.87,58.94,78.99,79.16,80.73,83.77,89.27,90.43,92.65
59,15.90,15.93,30.03,30.90,34.86,35.77,47.74,51.55,59.76,80.17,80.54,82.02,85.11,90.57,91.72,93.94
60,15.98,16.09,30.35,31.26,35.22,36.21,48.28,52.16,60.54,81.31,81.74,83.25,86.34,91.86,93.04,95.33
61,16.14,16.29,30.76,31.61,35.57,36.64,48.80,52.82,61.33,82.59,82.95,84.45,87.52,93.15,94.46,96.74
62,16.31,16.39,31.15,31.96,35.91,37.10,49.35,53.45,62.15,83.77,84.20,85.65,88.80,94.42,95.85,98.22
63,16.44,16.53,31.55,32.33,36.31,37.51,50.02,54.12,62.93,84.94,85.50,86.88,89.98,95.68,97.18,99.51
64,16.56,16.62,31.99,32.70,36.64,38.00,50.63,54.70,63.71,86.15,86.78,88.11,91.23,96.96,98.52,100.80
65,16.77,16.85,32.27,33.08,37.02,38.39,51.28,55.36,64.59,87.32,88.04,89.37,92.52,98.22,99.83,102.11
66,16.88,16.94,32.70,33.44,37.37,38.83,51.91,56.03,65.41,88.52,89.31,90.57,93.69,99.48,101.17,103.44
67,16.96,17.02,33.11,33.77,37.74,39.31,52.56,56.66,66.18,89.76,90.57,91.81,94.94,100.73,102.49,104.78
68,17.03,17.16,33.38,34.07,38.12,39.84,53.14,57.32,66.99,90.92,91.83,93.04,96.20,102.02,103.83,106.04
69,17.24,17.30,33.66,34.40,38.42,40.33,53.75,57.97,67.81,92.13,93.12,94.26,97.40,103.28,105.19,107.40
70,17.38,17.46,33.94,34.76,38.80,40.85,54.42,58.60,68.61,93.38,94.37,95.51,98.64,104.53,106.47,108.68
71,17.46,17.52,34.26,35.06,39.20,41.31,55.05,59.23,69.40,94.65,95.66,96.77,99.94,105.82,107.81,110.00
72,17.54,17.62,34.46,35.39,39.53,41.80,55.58,59.97,70.24,95.99,96.94,98.12,101.21,107.00,109.15,111.34
73,17.67,17.79,34.75,35.80,39.87,42.29,56.15,60.62,70.99,97.22,98.20,99.35,102.49,108.25,110.46,112.62
74,17.87,17.92,34.98,36.14,40.28,42.81,56.74,61.25,71.81,98.52,99.45,100.65,103.79,109.46,111.78,113.98
75,17.93,18.00,35.25,36.47,40.44,43.31,57.35,61.86,72.62,99.75,100.71,101.94,105.05,110.68,113.09,115.24
76,18.04,18.12,35.52,36.86,40.79,43.68,57.89,62.54,73.41,101.04,102.13,103.20,106.31,111.89,114.35,116.59
77,18.17,18.27,35.79,37.16,41.14,44.02,58.53,63.19,74.23,102.29,103.41,104.46,107.54,113.11,115.65,117.92
78,18.28,18.36,36.01,37.51,41.50,44.34,59.15,63.83,75.03,103.56,104.70,105.71,108.82,114.34,116.97,119.27
79,18.44,18.49,36.29,37.79,41.86,44.84,59.68,64.45,75.85,104.83,105.95,107.00,110.11,115.74,118.19,120.55
80,18.56,18.64,36.55,38.11,42.22,45.36,60.33,65.14,76.64,106.04,107.29,108.33,111.42,117.00,119.48,121.85
81,18.74,18.79,36.86,38.38,42.62,45.65,60.85,65.79,77.45,107.37,108.55,109.68,112.76,118.28,120.80,123.28
82,18.83,18.90,37.15,38.61,42.98,46.01,61.45,66.45,78.15,108.56,109.83,111.01,114.10,119.54,122.08,124.51
83,18.93,19.04,37.43,38.88,43.36,46.36,62.02,67.10,78.90,109.83,111.12,112.38,115.43,120.80,123.36,125.84
84,19.16,19.24,37.74,39.13,43.71,46.64,62.62,67.70,79.64,111.04,112.38,113.66,116.74,122.11,124.65,127.13
85,19.29,19.37,38.01,39.43,44.09,47.00,63.19,68.36,80.36,112.33,113.63,115.06,117.93,123.57,125.98,128.57
86,19.43,19.53,38.34,39.72,44.48,47.29,63.75,69.01,81.09,113.58,115.03,116.31,119.23,124.92,127.33,129.84
87,19.56,19.67,38.61,40.03,44.86,47.62,64.29,69.65,81.88,114.81,116.26,117.63,120.47,126.37,128.69,131.10
88,19.67,19.76,38.94,40.32,45.28,47.89,64.91,70.28,82.56,116.04,117.52,118.90,121.72,127.86,130.02,132.46
89,19.80,19.87,39.18,40.52,45.66,48.58,65.46,70.98,83.33,117.29,118.82,120.16,122.98,129.29,131.33,133.77
90,19.89,20.03,39.53,40.84,46.06,48.96,66.04,71.56,84.07,118.58,120.09,121.44,124.31,130.71,132.67,135.13
91,20.03,20.17,39.75,41.09,46.40,49.23,66.61,72.07,84.75,119.83,121.39,122.70,125.52,132.16,134.02,136.42
92,20.14,20.27,40.03,41.31,46.81,49.59,67.18,72.54,85.49,121.07,122.60,123.99,126.74,133.60,135.38,137.84
93,20.25,20.41,40.35,41.67,47.16,50.03,67.78,73.04,86.17,122.38,123.90,125.25,127.95,134.98,136.75,139.26
94,20.36,20.52,40.74,41.83,47.60,50.30,68.36,73.56,86.88,123.61,125.13,126.55,129.23,136.39,138.20,140.47
95,20.49,20.63,40.99,42.15,47.95,50.54,68.88,74.05,87.60,124.81,126.42,127.81,130.46,137.82,139.67,141.81
96,20.62,20.69,41.29,42.37,48.33,50.80,69.48,74.54,88.30,126.07,127.73,129.05,131.77,139.26,140.99,143.20
97,20.68,20.84,41.55,42.63,48.74,51.12,70.05,75.22,89.04,127.33,128.94,130.33,133.01,140.60,142.49,144.61
98,20.90,20.99,41.86,42.89,49.13,51.53,70.63,75.82,89.67,128.57,130.25,131.59,134.32,142.05,143.90,145.90
99,21.01,21.10,42.07,43.15,49.54,51.88,71.18,76.29,90.35,129.83,131.48,132.87,135.55,143.47,145.24,147.26
lbs.,,,,,,,,,,,,,,,,
100 - 154,0.24,0.24,0.46,0.46,0.54,0.55,0.76,0.80,0.93,1.34,1.37,1.37,1.42,1.48,1.51,1.59
"155 - 9,999",0.24,0.24,0.46,0.46,0.54,0.55,0.76,0.80,0.93,1.34,1.37,1.37,1.42,1.48,1.51,1.59
